config,bet_id,bet_date,logged_at,account_id,pitcher_name,strike,side,bet_size,pnl,result,gateway_ok,reject_reason,reject_context_short
sweep-350,5,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,5,NO,100,57,win,true,,""
sweep-350,6,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,6,NO,100,40.5,win,true,,""
sweep-350,7,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,4,NO,100,74,win,true,,""
sweep-350,12,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,3,NO,100,89.5,win,true,,""
sweep-350,23,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,7,NO,100,24,win,true,,""
sweep-350,34,2026-04-20,2026-04-20T14:19:05.456Z,adam,Jack Flaherty,8,YES,100,-21.5,loss,true,,""
sweep-350,36,2026-04-20,2026-04-20T14:19:05.456Z,adam,Jack Flaherty,10,YES,100,-4.5,loss,true,,""
sweep-350,38,2026-04-20,2026-04-20T14:19:05.456Z,adam,Jack Flaherty,9,YES,100,-11.5,loss,true,,""
sweep-350,41,2026-04-20,2026-04-20T14:19:05.456Z,adam,Dylan Cease,6,YES,100,24.5,win,true,,""
sweep-350,43,2026-04-20,2026-04-20T14:19:05.456Z,adam,J.T. Ginn,5,NO,100,-54.5,loss,true,,""
sweep-350,44,2026-04-20,2026-04-20T14:19:05.456Z,adam,Colin Rea,5,NO,100,-57,loss,true,,""
sweep-350,45,2026-04-20,2026-04-20T14:19:05.456Z,adam,Justin Wrobleski,7,YES,100,-12.5,loss,true,,""
sweep-350,47,2026-04-20,2026-04-20T14:19:05.456Z,adam,Spencer Arrighetti,10,YES,100,-4.5,loss,true,,""
sweep-350,48,2026-04-20,2026-04-20T14:19:05.456Z,adam,Justin Wrobleski,6,YES,100,-26.5,loss,true,,""
sweep-350,49,2026-04-20,2026-04-20T14:19:05.456Z,adam,Jack Flaherty,7,YES,100,-39.5,loss,true,,""
sweep-350,50,2026-04-20,2026-04-20T14:19:05.456Z,adam,Sonny Gray,8,NO,100,10.5,win,true,,""
sweep-350,54,2026-04-20,2026-04-20T14:19:05.456Z,adam,Jack Flaherty,6,YES,100,-54.5,loss,true,,""
sweep-350,57,2026-04-20,2026-04-20T14:19:05.456Z,adam,Colin Rea,4,NO,100,-40.5,loss,true,,""
sweep-350,1,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,5,NO,100,-38,loss,true,,""
sweep-350,2,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,6,NO,100,50,win,true,,""
sweep-350,3,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,4,NO,100,-22.5,loss,true,,""
sweep-350,4,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,7,NO,100,32,win,true,,""
sweep-350,8,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,9,YES,100,66.5,win,true,,""
sweep-350,9,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,3,NO,100,-14.5,loss,true,,""
sweep-350,10,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,10,YES,100,77.5,win,true,,""
sweep-350,11,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,11,YES,100,87,win,true,,""
sweep-350,13,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,7,YES,100,76.5,win,true,,""
sweep-350,14,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,6,YES,100,60,win,true,,""
sweep-350,15,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,7,YES,100,-24.5,loss,true,,""
sweep-350,16,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,6,YES,100,-38.5,loss,true,,""
sweep-350,17,2026-04-20,2026-04-20T20:53:50.063Z,adam,Emerson Hancock,6,YES,100,-42.5,loss,true,,""
sweep-350,18,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,12,YES,100,93,win,true,,""
sweep-350,19,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,8,YES,100,-14,loss,true,,""
sweep-350,20,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,8,YES,100,-14.5,loss,true,,""
sweep-350,21,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,8,YES,100,48.5,win,true,,""
sweep-350,22,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,5,YES,100,-57,loss,true,,""
sweep-350,24,2026-04-20,2026-04-20T20:53:50.063Z,adam,Emerson Hancock,7,YES,100,-30,loss,true,,""
sweep-350,25,2026-04-20,2026-04-20T20:53:50.063Z,adam,Dylan Cease,7,YES,100,32.5,win,true,,""
sweep-350,26,2026-04-20,2026-04-20T20:53:50.063Z,adam,Emerson Hancock,8,YES,100,-17,loss,true,,""
sweep-350,27,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,5,YES,100,42,win,true,,""
sweep-350,28,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,9,YES,100,-7,loss,true,,""
sweep-350,29,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,9,YES,100,-7.5,loss,true,,""
sweep-350,30,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jake Irvin,5,YES,100,-35.5,loss,true,,""
sweep-350,31,2026-04-20,2026-04-20T20:53:50.063Z,adam,Emerson Hancock,9,YES,100,-8,loss,true,,""
sweep-350,32,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jake Irvin,6,YES,100,-20.5,loss,true,,""
sweep-350,33,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,4,YES,100,25,win,true,,""
sweep-350,35,2026-04-20,2026-04-20T20:53:50.063Z,adam,Bryce Elder,7,YES,100,-14.5,loss,true,,""
sweep-350,37,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jake Irvin,7,YES,100,-11.5,loss,true,,""
sweep-350,39,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jake Irvin,4,YES,100,43.5,win,true,,""
sweep-350,40,2026-04-20,2026-04-20T20:53:50.063Z,adam,Emerson Hancock,5,YES,100,-61.5,loss,true,,""
sweep-350,42,2026-04-20,2026-04-20T20:53:50.063Z,adam,Bryce Elder,6,YES,100,74.5,win,true,,""
sweep-350,46,2026-04-20,2026-04-20T20:53:50.063Z,adam,Bryce Elder,5,YES,100,58,win,true,,""
sweep-350,51,2026-04-20,2026-04-20T20:53:50.063Z,adam,Seth Lugo,9,YES,100,-11,loss,true,,""
sweep-350,52,2026-04-20,2026-04-20T20:53:50.063Z,adam,Seth Lugo,8,YES,100,-18.5,loss,true,,""
sweep-350,53,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,8,NO,100,19.5,win,true,,""
sweep-350,55,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,10,YES,100,-4.5,loss,true,,""
sweep-350,56,2026-04-20,2026-04-20T20:53:50.063Z,adam,Spencer Arrighetti,4,YES,100,-70.5,loss,true,,""
sweep-350,58,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,5,NO,100,44.5,win,true,,""
sweep-350,59,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,4,NO,100,61.5,win,true,,""
sweep-350,60,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,6,NO,100,27,win,true,,""
sweep-350,61,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,3,NO,100,76.5,win,true,,""
sweep-350,62,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jose Quintana,4,NO,100,36.5,win,true,,""
sweep-350,63,2026-04-20,2026-04-20T20:53:50.063Z,adam,Seth Lugo,7,YES,100,68,win,true,,""
sweep-350,64,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jose Quintana,3,NO,100,57,win,true,,""
sweep-350,65,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,7,NO,100,14.5,win,true,,""
sweep-350,66,2026-04-20,2026-04-20T20:53:50.063Z,adam,Reid Detmers,9,NO,100,8,win,true,,""
sweep-350,67,2026-04-20,2026-04-20T20:53:50.063Z,adam,Seth Lugo,6,YES,100,49.5,win,true,,""
sweep-350,68,2026-04-20,2026-04-20T20:53:50.063Z,adam,Seth Lugo,10,YES,100,-5.5,loss,true,,""
sweep-350,69,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jose Quintana,2,NO,100,79,win,true,,""
sweep-350,70,2026-04-20,2026-04-20T20:53:50.063Z,adam,Slade Cecconi,5,NO,100,40.5,win,true,,""
sweep-350,71,2026-04-20,2026-04-20T20:53:50.063Z,adam,Kyle Bradish,3,YES,100,11.5,win,true,,""
sweep-350,72,2026-04-20,2026-04-20T20:53:50.063Z,adam,Justin Wrobleski,2,NO,100,-9.5,loss,true,,""
sweep-350,73,2026-04-20,2026-04-20T20:53:50.063Z,adam,Jake Irvin,3,YES,100,25,win,true,,""
sweep-350,123,2026-04-21,2026-04-21T11:20:44.022Z,adam,Nolan McLean,6,YES,100,36.27,win,true,,""
sweep-350,124,2026-04-21,2026-04-21T11:20:44.022Z,adam,Steven Matz,3,NO,100,-9,loss,true,,""
sweep-350,83,2026-04-21,2026-04-21T13:33:23.839Z,adam,Reynaldo López,5,NO,100,44.64,win,true,,""
sweep-350,86,2026-04-21,2026-04-21T13:33:23.839Z,adam,Jesús Luzardo,10,YES,100,-8,loss,true,,""
sweep-350,89,2026-04-21,2026-04-21T13:33:23.839Z,adam,Reynaldo López,4,NO,100,59.52,win,true,,""
sweep-350,90,2026-04-21,2026-04-21T13:33:23.839Z,adam,Chase Burns,7,YES,100,65.1,win,true,,""
sweep-350,93,2026-04-21,2026-04-21T13:33:23.839Z,adam,Reynaldo López,3,NO,100,74.4,win,true,,""
sweep-350,94,2026-04-21,2026-04-21T13:33:23.839Z,adam,Reynaldo López,6,NO,100,28.83,win,true,,""
sweep-350,97,2026-04-21,2026-04-21T13:33:23.839Z,adam,Chase Burns,8,YES,100,77.19,win,true,,""
sweep-350,105,2026-04-21,2026-04-21T13:33:23.839Z,adam,Nolan McLean,9,YES,100,78.12,win,true,,""
sweep-350,107,2026-04-21,2026-04-21T13:33:23.839Z,adam,Chase Burns,6,YES,100,50.22,win,true,,""
sweep-350,108,2026-04-21,2026-04-21T13:33:23.839Z,adam,Chase Burns,5,YES,100,35.34,win,true,,""
sweep-350,112,2026-04-21,2026-04-21T13:33:23.839Z,adam,Chase Burns,9,YES,100,-8,loss,true,,""
sweep-350,113,2026-04-21,2026-04-21T13:33:23.839Z,adam,Nolan McLean,10,YES,100,82.77,win,true,,""
sweep-350,125,2026-04-21,2026-04-21T13:33:23.839Z,adam,Kyle Harrison,5,YES,100,-51,loss,true,,""
sweep-350,128,2026-04-21,2026-04-21T13:33:23.839Z,adam,Simeon Woods Richardson,2,NO,100,-9,loss,true,,""
sweep-350,129,2026-04-21,2026-04-21T13:33:23.839Z,adam,Ryan Weiss,2,YES,100,13.95,win,true,,""
sweep-350,131,2026-04-21,2026-04-21T13:33:23.839Z,adam,Kyle Harrison,7,YES,100,-18,loss,true,,""
sweep-350,134,2026-04-21,2026-04-21T13:33:23.839Z,adam,Nolan McLean,8,YES,100,63.24,win,true,,""
sweep-350,136,2026-04-21,2026-04-21T13:33:23.839Z,adam,Dustin May,5,NO,100,-57,loss,true,,""
sweep-350,137,2026-04-21,2026-04-21T13:33:23.839Z,adam,Steven Matz,6,NO,100,39.99,win,true,,""
sweep-350,138,2026-04-21,2026-04-21T13:33:23.839Z,adam,Shane Baz,6,YES,100,-31,loss,true,,""
sweep-350,74,2026-04-21,2026-04-21T20:43:17.054Z,adam,Simeon Woods Richardson,4,NO,68,37.31,win,true,,""
sweep-350,75,2026-04-21,2026-04-21T20:43:17.054Z,adam,Ryan Weiss,5,YES,73,-20.44,loss,true,,""
sweep-350,76,2026-04-21,2026-04-21T20:43:17.054Z,adam,Ryan Weiss,4,YES,37,17.89,win,true,,""
sweep-350,77,2026-04-21,2026-04-21T20:43:17.054Z,adam,Jesús Luzardo,8,YES,57,-15.39,loss,true,,""
sweep-350,78,2026-04-21,2026-04-21T20:43:17.054Z,adam,Ryan Weiss,6,YES,131,-18.34,loss,false,ORDER_USD_OVER_LIMIT,"{""bet_amount_usd"":131,""limit_usd"":125,""strategy_mode"":""pregame_model""}"
sweep-350,79,2026-04-21,2026-04-21T20:43:17.054Z,adam,Jesús Luzardo,9,YES,103,-15.45,loss,true,,""
sweep-350,80,2026-04-21,2026-04-21T20:43:17.054Z,adam,Simeon Woods Richardson,3,NO,115,83.42,win,true,,""
