bet_id,bet_date,pitcher,strike,side,stratum,result,raw,iso,platt,iso_used_global,fire_raw,fire_iso,pnl_production,pnl_iso_replay
8466,2026-04-27,Parker Messick,5,YES,YES_5-6,win,0.6783,0.4286,0.4171,0,1,0,40.56,0.00
8467,2026-04-27,Parker Messick,6,YES,YES_5-6,win,0.5256,0.4167,0.4034,0,1,0,74.15,0.00
8468,2026-04-27,Parker Messick,5,YES,YES_5-6,win,0.6783,0.4286,0.4171,0,1,0,24.15,0.00
8469,2026-04-27,Parker Messick,6,YES,YES_5-6,win,0.5256,0.4167,0.4034,0,1,0,40.51,0.00
8474,2026-04-27,Luis Castillo,5,YES,YES_5-6,loss,0.7185,0.5000,0.4212,0,1,0,-51.15,0.00
8475,2026-04-27,Luis Castillo,6,YES,YES_5-6,loss,0.5729,0.4167,0.4075,0,1,0,-40.80,0.00
8476,2026-04-27,Luis Castillo,5,YES,YES_5-6,loss,0.7185,0.5000,0.4212,0,1,0,-29.07,0.00
8477,2026-04-27,Luis Castillo,6,YES,YES_5-6,loss,0.5729,0.4167,0.4075,0,1,0,-27.00,0.00
8488,2026-04-27,Anthony Kay,4,YES,YES_3-4,loss,0.7067,0.6364,0.6842,0,1,0,-37.70,0.00
8489,2026-04-27,Anthony Kay,5,YES,YES_5-6,loss,0.5332,0.4167,0.4040,0,1,0,-31.54,0.00
8490,2026-04-27,Anthony Kay,4,YES,YES_3-4,loss,0.7067,0.6364,0.6842,0,1,0,-23.20,0.00
8491,2026-04-27,Anthony Kay,5,YES,YES_5-6,loss,0.5332,0.4167,0.4040,0,1,0,-19.38,0.00
8492,2026-04-27,Jack Kochanowicz,3,YES,YES_3-4,win,0.8752,1.0000,0.9378,0,1,1,10.68,10.68
8493,2026-04-27,Jack Kochanowicz,4,YES,YES_3-4,win,0.7414,0.6364,0.7481,0,1,0,21.15,0.00
8494,2026-04-27,Jack Kochanowicz,5,YES,YES_5-6,win,0.5759,0.4167,0.4077,0,1,1,50.40,50.40
8495,2026-04-27,Jack Kochanowicz,6,YES,YES_5-6,loss,0.4089,0.4091,0.3935,0,1,1,-3.84,-3.84
8496,2026-04-27,Jack Kochanowicz,3,YES,YES_3-4,win,0.8752,1.0000,0.9378,0,1,1,9.11,9.11
