bet_id,bet_date,pitcher_id,pitcher_name,strike,side,result,actual_ks,pnl,bet_size,feasibility,reason_code,bf_source_tier,workload_signal,required_bf,expected_bf,bf_gap,bf_gap_ratio,gap_under,lambda_final
6943,2026-04-24,694973,Paul Skenes,6,NO,loss,6,-11.78,31.00,strong,leash_supports_no,strong,short_leash,22.248,17.60,4.648,0.2641,1.206,4.794
6944,2026-04-24,671096,Andrew Abbott,5,NO,void,4,0.00,21.00,strong,no_path_ample_cushion,strong,normal,35.879,22.80,13.079,0.5736,2.132,2.868
6945,2026-04-24,605540,Brandon Woodruff,6,NO,win,3,17.69,29.00,strong,leash_supports_no,strong,capped,27.078,21.25,5.828,0.2742,1.244,4.756
6946,2026-04-24,694973,Paul Skenes,7,NO,void,7,0.00,17.00,strong,no_path_ample_cushion,strong,short_leash,25.956,17.60,8.356,0.4748,2.206,4.794
6947,2026-04-24,547179,Michael Lorenzen,4,NO,void,3,0.00,21.00,strong,workload_ceiling_supports_no,strong,normal,27.344,22.20,5.144,0.2317,0.982,3.018
6948,2026-04-24,453286,Max Scherzer,4,NO,void,0,0.00,20.00,strong,leash_supports_no,strong,short_leash,22.774,17.00,5.774,0.3397,0.911,3.089
6949,2026-04-24,642547,Freddy Peralta,7,NO,void,7,0.00,17.00,strong,workload_ceiling_supports_no,strong,normal,28.510,22.40,6.110,0.2728,1.358,5.642
6950,2026-04-24,664285,Framber Valdez,6,NO,win,4,2.44,16.00,strong,workload_ceiling_supports_no,strong,normal,38.334,25.40,12.934,0.5092,1.443,4.557
6951,2026-04-24,605540,Brandon Woodruff,7,NO,win,3,5.20,13.00,strong,no_path_ample_cushion,strong,capped,31.591,21.25,10.341,0.4866,2.244,4.756
6952,2026-04-24,694973,Paul Skenes,8,NO,void,7,0.00,11.00,strong,no_path_ample_cushion,strong,short_leash,29.664,17.60,12.064,0.6854,3.206,4.794
6953,2026-04-24,547179,Michael Lorenzen,5,NO,win,3,4.43,12.00,strong,no_path_ample_cushion,strong,normal,34.180,22.20,11.980,0.5396,1.982,3.018
6954,2026-04-24,668909,Gavin Williams,6,YES,loss,4,-6.41,14.00,strong,comfortable_buffer,strong,normal,18.530,23.00,-4.470,-0.1943,-0.457,6.457
6955,2026-04-24,671096,Andrew Abbott,6,NO,win,4,2.50,10.00,strong,no_path_ample_cushion,strong,normal,43.055,22.80,20.255,0.8884,3.132,2.868
6956,2026-04-24,664285,Framber Valdez,5,NO,win,4,12.80,20.00,viable,workload_ceiling_supports_no,strong,normal,31.945,25.40,6.545,0.2577,0.443,4.557
6957,2026-04-24,605540,Brandon Woodruff,8,NO,void,3,0.00,10.00,strong,no_path_ample_cushion,strong,capped,36.104,21.25,14.854,0.6990,3.244,4.756
6958,2026-04-24,678394,Brayan Bello,4,NO,win,2,10.86,18.00,viable,workload_ceiling_supports_no,strong,normal,27.700,23.00,4.700,0.2044,0.439,3.561
