bet_id,bet_date,pitcher,strike,side,result,production_pnl,production_size,feasibility,trust_level,decision,judge_reason,edge,kelly_eff,oracle_size,oracle_pnl
6943,2026-04-24,Paul Skenes,6,NO,loss,-11.78,31.00,strong,high,skip,insufficient_edge,0.0348,0.0904,0.00,0.00
6944,2026-04-24,Andrew Abbott,5,NO,void,0.00,21.00,strong,high,fire,fire,0.3970,0.7026,200.00,0.00
6945,2026-04-24,Brandon Woodruff,6,NO,win,17.69,29.00,strong,high,skip,insufficient_edge,0.0460,0.1003,0.00,0.00
6946,2026-04-24,Paul Skenes,7,NO,void,0.00,17.00,strong,high,fire,fire,0.3448,0.6103,200.00,0.00
6947,2026-04-24,Michael Lorenzen,4,NO,void,0.00,21.00,strong,high,skip,insufficient_edge,0.0783,0.1800,0.00,0.00
6948,2026-04-24,Max Scherzer,4,NO,void,0.00,20.00,strong,high,skip,insufficient_edge,0.0629,0.1230,0.00,0.00
6949,2026-04-24,Freddy Peralta,7,NO,void,0.00,17.00,strong,high,fire,fire,0.1343,0.2827,200.00,0.00
6950,2026-04-24,Framber Valdez,6,NO,win,2.44,16.00,strong,high,fire,fire,0.1901,0.3802,200.00,30.50
6951,2026-04-24,Brandon Woodruff,7,NO,win,5.20,13.00,strong,high,fire,fire,0.3850,0.5454,200.00,80.00
6952,2026-04-24,Paul Skenes,8,NO,void,0.00,11.00,strong,high,fire,fire,0.5670,0.8158,200.00,0.00
6953,2026-04-24,Michael Lorenzen,5,NO,win,4.43,12.00,strong,high,fire,fire,0.4424,0.6967,200.00,73.83
6954,2026-04-24,Gavin Williams,6,YES,loss,-6.41,14.00,strong,high,fire,fire,0.1552,0.2772,200.00,-91.57
6955,2026-04-24,Andrew Abbott,6,NO,win,2.50,10.00,strong,high,fire,fire,0.6634,0.8964,200.00,50.00
6956,2026-04-24,Framber Valdez,5,NO,win,12.80,20.00,viable,high,skip,insufficient_edge,-0.1140,0.0000,0.00,0.00
6957,2026-04-24,Brandon Woodruff,8,NO,void,0.00,10.00,strong,high,fire,fire,0.5907,0.7022,200.00,0.00
6958,2026-04-24,Brayan Bello,4,NO,win,10.86,18.00,viable,medium,fire,fire,0.1477,0.1620,162.02,97.75
6959,2026-04-24,Brayan Bello,5,NO,void,0.00,12.00,strong,high,fire,fire,0.2662,0.4077,200.00,0.00
6960,2026-04-24,Gavin Williams,7,YES,loss,-5.85,18.00,viable,high,fire,fire,0.1462,0.1695,169.54,-55.10
6961,2026-04-24,Noah Cameron,5,NO,void,0.00,14.00,strong,high,skip,insufficient_edge,0.0970,0.1736,0.00,0.00
6962,2026-04-24,Gavin Williams,8,YES,loss,-5.43,27.00,dead,low,skip,feasibility_dead,0.1403,0.0000,0.00,0.00
6963,2026-04-24,Michael Lorenzen,6,NO,void,0.00,8.00,strong,high,fire,fire,0.6733,0.8802,200.00,0.00
6964,2026-04-24,Grant Holmes,5,NO,win,7.15,13.00,strong,high,skip,insufficient_edge,0.0366,0.0814,0.00,0.00
6966,2026-04-24,Max Scherzer,5,NO,win,2.72,8.00,strong,high,fire,fire,0.4455,0.5826,200.00,68.00
6967,2026-04-24,Freddy Peralta,4,NO,loss,-5.94,62.00,dead,low,skip,feasibility_dead,0.1208,0.0000,0.00,0.00
6968,2026-04-24,Drew Rasmussen,7,YES,loss,-4.55,18.00,dead,low,skip,feasibility_dead,0.1201,0.0000,0.00,0.00
6969,2026-04-24,Framber Valdez,7,NO,win,2.17,7.00,strong,high,fire,fire,0.5008,0.7310,200.00,62.00
6970,2026-04-24,Brayan Bello,6,NO,void,0.00,7.00,strong,high,fire,fire,0.5679,0.6658,200.00,0.00
6971,2026-04-24,Grant Holmes,6,NO,void,0.00,7.00,strong,high,fire,fire,0.3739,0.5935,200.00,0.00
6972,2026-04-24,Noah Cameron,6,NO,void,0.00,7.00,strong,high,fire,fire,0.4350,0.5560,200.00,0.00
6973,2026-04-24,Freddy Peralta,8,NO,loss,-4.69,7.00,strong,high,fire,fire,0.4375,0.6629,200.00,-134.00
6974,2026-04-24,Framber Valdez,8,NO,void,0.00,5.00,strong,high,fire,fire,0.6947,0.8738,200.00,0.00
6976,2026-04-24,Freddy Peralta,9,NO,void,0.00,5.00,strong,high,fire,fire,0.6290,0.8223,200.00,0.00
6977,2026-04-24,Paul Skenes,6,NO,void,0.00,27.00,strong,high,skip,insufficient_edge,0.0348,0.0904,0.00,0.00
6978,2026-04-24,Andrew Abbott,5,NO,void,0.00,18.00,strong,high,fire,fire,0.3970,0.7026,200.00,0.00
6979,2026-04-24,Brandon Woodruff,6,NO,win,15.86,26.00,strong,high,skip,insufficient_edge,0.0460,0.1003,0.00,0.00
6980,2026-04-24,Paul Skenes,7,NO,void,0.00,15.00,strong,high,fire,fire,0.3448,0.6103,200.00,0.00
6981,2026-04-24,Michael Lorenzen,4,NO,void,0.00,19.00,strong,high,skip,insufficient_edge,0.0783,0.1800,0.00,0.00
6982,2026-04-24,Max Scherzer,4,NO,void,0.00,17.00,strong,high,skip,insufficient_edge,0.0629,0.1230,0.00,0.00
6983,2026-04-24,Freddy Peralta,7,NO,void,0.00,15.00,strong,high,fire,fire,0.1343,0.2827,200.00,0.00
6984,2026-04-24,Framber Valdez,6,NO,void,0.00,14.00,strong,high,fire,fire,0.1901,0.3802,200.00,0.00
6985,2026-04-24,Brandon Woodruff,7,NO,win,4.59,12.00,strong,high,fire,fire,0.3850,0.5454,200.00,76.50
6986,2026-04-24,Paul Skenes,8,NO,void,0.00,10.00,strong,high,fire,fire,0.5670,0.8158,200.00,0.00
6987,2026-04-24,Michael Lorenzen,5,NO,void,0.00,10.00,strong,high,fire,fire,0.4424,0.6967,200.00,0.00
6988,2026-04-24,Gavin Williams,6,YES,loss,-5.49,12.00,strong,high,fire,fire,0.1552,0.2772,200.00,-91.50
6989,2026-04-24,Andrew Abbott,6,NO,win,2.00,8.00,strong,high,fire,fire,0.6634,0.8964,200.00,50.00
