bet_id,bet_date,pitcher,strike,side,result,production_pnl,production_size,feasibility,trust_level,decision_off,decision_full,critic_verdict,critic_status,critic_concerns
6943,2026-04-24,Paul Skenes,6,NO,loss,-11.78,31.00,strong,high,skip,skip,proceed,ok,
6944,2026-04-24,Andrew Abbott,5,NO,void,0.00,21.00,strong,high,fire,fire,proceed,ok,
6945,2026-04-24,Brandon Woodruff,6,NO,win,17.69,29.00,strong,high,skip,skip,proceed,ok,
6946,2026-04-24,Paul Skenes,7,NO,void,0.00,17.00,strong,high,fire,fire,proceed,ok,
6947,2026-04-24,Michael Lorenzen,4,NO,void,0.00,21.00,strong,high,skip,skip,proceed,ok,
6948,2026-04-24,Max Scherzer,4,NO,void,0.00,20.00,strong,high,skip,skip,proceed,ok,
6949,2026-04-24,Freddy Peralta,7,NO,void,0.00,17.00,strong,high,fire,fire,proceed,ok,
6950,2026-04-24,Framber Valdez,6,NO,win,2.44,16.00,strong,high,fire,fire,proceed,ok,
6951,2026-04-24,Brandon Woodruff,7,NO,win,5.20,13.00,strong,high,fire,fire,proceed,ok,
6952,2026-04-24,Paul Skenes,8,NO,void,0.00,11.00,strong,high,fire,fire,proceed,ok,
6953,2026-04-24,Michael Lorenzen,5,NO,win,4.43,12.00,strong,high,fire,fire,proceed,ok,
6954,2026-04-24,Gavin Williams,6,YES,loss,-6.41,14.00,strong,high,fire,fire,proceed,ok,
6955,2026-04-24,Andrew Abbott,6,NO,win,2.50,10.00,strong,high,fire,fire,proceed,ok,
6956,2026-04-24,Framber Valdez,5,NO,win,12.80,20.00,viable,high,skip,skip,proceed,ok,
6957,2026-04-24,Brandon Woodruff,8,NO,void,0.00,10.00,strong,high,fire,fire,proceed,ok,
6958,2026-04-24,Brayan Bello,4,NO,win,10.86,18.00,viable,medium,fire,fire,proceed,ok,
6959,2026-04-24,Brayan Bello,5,NO,void,0.00,12.00,strong,high,fire,fire,proceed,ok,
6960,2026-04-24,Gavin Williams,7,YES,loss,-5.85,18.00,viable,high,fire,fire,proceed,ok,
6961,2026-04-24,Noah Cameron,5,NO,void,0.00,14.00,strong,high,skip,skip,proceed,ok,
6962,2026-04-24,Gavin Williams,8,YES,loss,-5.43,27.00,dead,low,skip,skip,proceed,ok,
6963,2026-04-24,Michael Lorenzen,6,NO,void,0.00,8.00,strong,high,fire,fire,proceed,ok,
6964,2026-04-24,Grant Holmes,5,NO,win,7.15,13.00,strong,high,skip,skip,proceed,ok,
6966,2026-04-24,Max Scherzer,5,NO,win,2.72,8.00,strong,high,fire,fire,proceed,ok,
6967,2026-04-24,Freddy Peralta,4,NO,loss,-5.94,62.00,dead,low,skip,skip,proceed,ok,
