bet_id,bet_date,pitcher,strike,side,bucket,feasibility,trust,critic,baseline,min_flip_dist,brittleness
6962,2026-04-24,Gavin Williams,8,YES,near_threshold,dead,low,proceed,skip,,stable
6966,2026-04-24,Max Scherzer,5,NO,near_threshold,strong,high,proceed,fire,,stable
6970,2026-04-24,Brayan Bello,6,NO,near_threshold,strong,high,proceed,fire,,stable
6974,2026-04-24,Framber Valdez,8,NO,near_threshold,strong,high,proceed,fire,,stable
6998,2026-04-24,Grant Holmes,5,NO,near_threshold,strong,high,proceed,skip,,stable
7002,2026-04-24,Drew Rasmussen,7,YES,near_threshold,dead,low,skip,skip,,stable
7006,2026-04-24,Noah Cameron,6,NO,near_threshold,strong,high,proceed,fire,,stable
7048,2026-04-25,Jack Flaherty,6,NO,near_threshold,dead,low,skip,skip,,stable
7511,2026-04-26,Kyle Harrison,6,NO,near_threshold,strong,high,proceed,skip,,stable
7523,2026-04-26,Kyle Bradish,7,YES,near_threshold,viable,high,skip,skip,,stable
7553,2026-04-26,Aaron Nola,4,YES,near_threshold,strong,high,proceed,fire,,stable
8488,2026-04-27,Anthony Kay,4,YES,near_threshold,strong,high,proceed,skip,1,1c_brittle
8502,2026-04-27,Max Fried,6,YES,near_threshold,viable,high,proceed,fire,3,3to5c_sensitive
6946,2026-04-24,Paul Skenes,7,NO,medium,strong,high,proceed,fire,,stable
6957,2026-04-24,Brandon Woodruff,8,NO,medium,strong,high,proceed,fire,,stable
6986,2026-04-24,Paul Skenes,8,NO,medium,strong,high,proceed,fire,,stable
7033,2026-04-25,Garrett Crochet,7,NO,medium,strong,high,proceed,skip,,stable
7044,2026-04-25,Germán Márquez,4,YES,medium,viable,medium,proceed,fire,,stable
7064,2026-04-25,Mitch Keller,5,NO,medium,strong,high,proceed,skip,2,2c_brittle
7485,2026-04-26,Aaron Nola,5,YES,medium,strong,high,proceed,fire,5,3to5c_sensitive
7496,2026-04-26,Slade Cecconi,6,YES,medium,dead,low,proceed,skip,,stable
7517,2026-04-26,Carmen Mlodzinski,6,YES,medium,viable,medium,concern,size_down,,stable
8467,2026-04-27,Parker Messick,6,YES,medium,strong,high,proceed,fire,,stable
8496,2026-04-27,Jack Kochanowicz,3,YES,medium,strong,high,proceed,fire,4,3to5c_sensitive
8879,2026-04-28,Casey Mize,6,YES,medium,viable,high,proceed,fire,,stable
9112,2026-04-29,Drew Rasmussen,5,YES,medium,strong,high,proceed,fire,,stable
6943,2026-04-24,Paul Skenes,6,NO,comfortable,strong,high,proceed,skip,,stable
7026,2026-04-25,Jeffrey Springs,6,YES,comfortable,viable,high,proceed,fire,,stable
7050,2026-04-25,Walbert Urena,4,YES,comfortable,viable,low,proceed,size_down,,stable
7085,2026-04-25,Cole Ragans,5,NO,comfortable,fragile,medium,proceed,skip,,stable
7501,2026-04-26,Spencer Arrighetti,7,YES,comfortable,viable,medium,proceed,fire,,stable
7535,2026-04-26,Ryne Nelson,5,YES,comfortable,dead,low,proceed,skip,,stable
7545,2026-04-26,Max Meyer,7,YES,comfortable,dead,low,proceed,skip,,stable
8498,2026-04-27,Jack Kochanowicz,5,YES,comfortable,dead,low,proceed,skip,,stable
8536,2026-04-27,Dylan Cease,8,YES,comfortable,strong,high,proceed,fire,,stable
8894,2026-04-28,Kris Bubic,8,YES,comfortable,dead,low,proceed,skip,,stable
9173,2026-04-29,David Peterson,7,YES,comfortable,fragile,low,proceed,size_down,,stable
9297,2026-04-29,Luis Severino,7,YES,comfortable,dead,low,proceed,skip,,stable
9389,2026-04-30,Chris Bassitt,5,NO,comfortable,strong,high,proceed,fire,,stable
7045,2026-04-25,Jeffrey Springs,8,YES,large,dead,low,proceed,skip,,stable
7068,2026-04-25,Jeffrey Springs,8,YES,large,dead,low,proceed,skip,,stable
7538,2026-04-26,Michael King,5,YES,large,strong,high,proceed,fire,,stable
7539,2026-04-26,Michael King,6,YES,large,viable,high,proceed,fire,,stable
7541,2026-04-26,Michael King,5,YES,large,strong,high,proceed,fire,,stable
7542,2026-04-26,Michael King,6,YES,large,viable,high,proceed,fire,,stable
8538,2026-04-27,Dylan Cease,10,YES,large,dead,low,proceed,skip,,stable
8541,2026-04-27,Dylan Cease,10,YES,large,dead,low,proceed,skip,,stable
8880,2026-04-28,Kai-Wei Teng,4,YES,large,viable,low,proceed,size_down,,stable
8881,2026-04-28,Kai-Wei Teng,6,YES,large,viable,low,proceed,size_down,,stable
8882,2026-04-28,Kai-Wei Teng,4,YES,large,viable,low,proceed,size_down,,stable
