bet_id,bet_date,pitcher,strike,side,result,actual_ks,production_pnl,feasibility,trust_level,trust_score,critic_verdict,boost_upgraded,judge_baseline,stage3_decision,stage4_decision,stage3_pnl,stage4_pnl,delta_pnl
6943,2026-04-24,Paul Skenes,6,NO,loss,6,-11.78,strong,high,1.000,proceed,0,skip,skip,skip,0.00,0.00,0.00
6944,2026-04-24,Andrew Abbott,5,NO,void,4,0.00,strong,high,1.000,proceed,0,fire,fire,fire,0.00,0.00,0.00
6945,2026-04-24,Brandon Woodruff,6,NO,win,3,17.69,strong,high,0.850,proceed,0,skip,skip,skip,0.00,0.00,0.00
6946,2026-04-24,Paul Skenes,7,NO,void,7,0.00,strong,high,1.000,proceed,0,fire,fire,fire,0.00,0.00,0.00
6947,2026-04-24,Michael Lorenzen,4,NO,void,3,0.00,strong,high,1.000,proceed,0,skip,skip,skip,0.00,0.00,0.00
6948,2026-04-24,Max Scherzer,4,NO,void,0,0.00,strong,high,0.850,proceed,0,skip,skip,skip,0.00,0.00,0.00
6949,2026-04-24,Freddy Peralta,7,NO,void,7,0.00,strong,high,1.000,proceed,0,fire,fire,fire,0.00,0.00,0.00
6950,2026-04-24,Framber Valdez,6,NO,win,4,2.44,strong,high,1.000,proceed,0,fire,fire,fire,2.44,2.44,0.00
6951,2026-04-24,Brandon Woodruff,7,NO,win,3,5.20,strong,high,0.850,proceed,0,fire,fire,fire,5.20,5.20,0.00
6952,2026-04-24,Paul Skenes,8,NO,void,7,0.00,strong,high,1.000,proceed,0,fire,fire,fire,0.00,0.00,0.00
6953,2026-04-24,Michael Lorenzen,5,NO,win,3,4.43,strong,high,1.000,proceed,0,fire,fire,fire,4.43,4.43,0.00
6954,2026-04-24,Gavin Williams,6,YES,loss,4,-6.41,strong,high,1.000,proceed,0,fire,fire,fire,-6.41,-6.41,0.00
6955,2026-04-24,Andrew Abbott,6,NO,win,4,2.50,strong,high,1.000,proceed,0,fire,fire,fire,2.50,2.50,0.00
6956,2026-04-24,Framber Valdez,5,NO,win,4,12.80,viable,high,0.800,proceed,0,skip,skip,skip,0.00,0.00,0.00
6957,2026-04-24,Brandon Woodruff,8,NO,void,3,0.00,strong,high,0.850,proceed,0,fire,fire,fire,0.00,0.00,0.00
6958,2026-04-24,Brayan Bello,4,NO,win,2,10.86,viable,medium,0.680,proceed,0,fire,fire,fire,10.86,10.86,0.00
6959,2026-04-24,Brayan Bello,5,NO,void,2,0.00,strong,high,0.850,proceed,0,fire,fire,fire,0.00,0.00,0.00
6960,2026-04-24,Gavin Williams,7,YES,loss,4,-5.85,viable,high,0.800,proceed,0,fire,fire,fire,-5.85,-5.85,0.00
